Franchise Owner Name,Legal Corporate Name,Corporate Address,Corporate Phone Number,Corporate Email,Franchise Owner LinkedIn URL,Source URLs
"Hagan, John","Hagan, John LLC","1524 Hewitt Drive, Waco, TX",(254) 230-0266,info@haganjohn.com,https://www.linkedin.com/pub/dir/Hagan/John,https://www.linkedin.com/pub/dir/Hagan/John; https://www.linkedin.com/in/john-hagan-a3b4064; https://www.linkedin.com/in/jonathan-hagan-1b5095121
"Hagan, John","Hagan, John LLC","1602 S Bridge, Brady, TX",(325) 597-5333,info@haganjohn.com,https://www.linkedin.com/in/brady-hagan-67a2457,https://www.linkedin.com/in/brady-hagan-67a2457; https://www.linkedin.com/in/john-brady-348500134; https://www.linkedin.com/in/brady-hagan-14653715b
"Adam Fried Chicken, LLC","Adam Fried Chicken, LLC","1714 East 14th Street, Plano, TX",(972) 424-4653,info@adamfriedchickenllc.com,https://www.linkedin.com/company/tastybrandslp,https://www.linkedin.com/company/tastybrandslp; https://lu.linkedin.com/company/tastybrandslp; https://es.linkedin.com/company/tastybrandslp?trk=similar-pages_result-card_full-click
"Kallos 153, Inc.","Kallos 153, Inc.","1001 W. University, McKinney, TX",(972) 548-9600,info@kallos153inc..com,https://www.linkedin.com/in/alysha-mmamud,https://www.linkedin.com/in/alysha-mmamud; https://www.linkedin.com/in/clinthatton; https://www.linkedin.com/in/brian-bullock
"AIG-A Foods Enterprises,
LLC","AIG-A Foods Enterprises,
LLC","2620 Highland Dr., Acton, TX",(817) 326-2002,"info@aig-afoodsenterprises
llc.com",https://www.linkedin.com/company/aig,https://www.linkedin.com/company/aig; https://www.linkedin.com/company/aig-int; https://www.linkedin.com/in/tonyeggleston
NJ Golden Tree LLC,NJ Golden Tree LLC,"1610 N Center, Bonham, TX",(903) 583-8300,info@njgoldentreellc.com,https://www.linkedin.com/company/goldentree-asset-management,https://www.linkedin.com/company/goldentree-asset-management; https://www.linkedin.com/company/golden-tree; https://ocp.dc.gov/sites/default/files/dc/sites/ocp/publication/attachments/Report%20of%20Contracting%20Activity%20-%20Part%20I%20-%20January%2015%202018_0.pdf
"Bo Stover, LLC","Bo Stover, LLC","1706 West 2^{nd} Street, Taylor, TX",(512) 309-4710,info@bostoverllc.com,https://www.linkedin.com/in/bo-stover-54582226,https://www.linkedin.com/in/bo-stover-54582226; https://www.linkedin.com/in/gwsiii; https://www.linkedin.com/pub/dir/Bo/Stover
"Evergreen International
LLC","Evergreen International
LLC","12588 E. Bandera Rd., Helotes, TX",(210) 695-1800,"info@evergreeninternational
llc.com",https://www.linkedin.com/company/evergreen-international-limited,https://www.linkedin.com/company/evergreen-international-limited; https://www.linkedin.com/in/raul-correa-a98268b; https://www.linkedin.com/in/robert-trivino-29b60318
Ben-Brac Ltd.,Ben-Brac Ltd. LLC,"811 Brown, Hearne, TX",(979) 279-5652,info@ben-bracltd..com,https://www.linkedin.com/in/benhearne,https://www.linkedin.com/in/benhearne; https://www.oxfordmusiconline.com/page/1703; https://www.jsg.utexas.edu/news/files/newsletter2015.pdf
"Paloma Creek Chicken
Ventures, LLC","Paloma Creek Chicken
Ventures, LLC","26735 U.S. Hwy 380 E, Aubrey, TX",(972) 347-9988,"info@palomacreekchicken
venturesllc.com",,https://www.floretflowers.com/directory/; https://www.mamalycha.com/es/store-locator; https://www.scribd.com/document/297172212/SVA-Continuing-Education-Bulletin
